date,mu_bl_max,turnover,dominant_regime
2013-11-30,0.001205627311944437,2.688587634164241e-06,expansion
2013-12-31,0.001057545531454012,2.3929693553081943e-06,expansion
2014-01-31,0.0009722624553931448,2.1832688628931063e-06,crisis
2014-02-28,0.0010852247670078943,2.274209477376443e-06,crisis
2014-03-31,0.0010603297561444678,2.2850897553883254e-06,crisis
2014-04-30,0.0014068232902781478,2.8908310573116935e-06,crisis
2014-05-31,0.0017677512721797752,3.869600942646434e-06,crisis
2014-06-30,0.0014891095752316728,3.12993589579591e-06,crisis
2014-07-31,0.00136599062743844,2.815593704963426e-06,crisis
2014-08-31,0.001194006198918181,2.5036634928032875e-06,crisis
2014-09-30,0.0011087545370440193,2.3634233349278944e-06,crisis
2014-10-31,0.0010093888987155466,2.155458721203596e-06,crisis
2014-11-30,0.0009303658820550857,1.9968554391958104e-06,crisis
2014-12-31,0.0008619108397029342,1.7993735008658973e-06,crisis
2015-01-31,0.0008753080370814319,1.8364472776366547e-06,crisis
2015-02-28,0.000975685632577511,2.106118607958507e-06,crisis
2015-03-31,0.0011636721826433487,2.682974229756274e-06,crisis
2015-04-30,0.0011179384835532636,2.6639337693257215e-06,crisis
2015-05-31,0.0019728002146051035,4.410446987318517e-06,crisis
2015-06-30,0.0019844334153113073,4.205014447616895e-06,crisis
2015-07-31,0.001426056952330878,3.596169344782796e-06,crisis
2015-08-31,0.003151821357455485,4.703518203807988e-06,crisis
2015-09-30,0.002026439847786811,3.881182973786146e-06,crisis
2015-10-31,0.0020038692941955227,5.306565603602209e-06,crisis
2015-11-30,0.0016204990195258508,4.597660765687239e-06,crisis
2015-12-31,0.0014192776708906603,3.765228041102686e-06,crisis
2016-01-31,0.0015483174017775904,3.828897109842133e-06,crisis
2016-02-29,0.001912378510299072,4.146383391356867e-06,crisis
2016-03-31,0.0017746596121624254,4.438375752285895e-06,crisis
2016-04-30,0.00170973626562899,4.71611913804848e-06,crisis
2016-05-31,0.0019710599743201847,4.973187822027159e-06,crisis
2016-06-30,0.001452846746346291,3.867361557385873e-06,crisis
2016-07-31,0.00180693457283774,4.653637538765132e-06,crisis
2016-08-31,0.0019266598873738626,4.782470648889703e-06,crisis
2016-09-30,0.0020049420425693426,4.733584128224777e-06,crisis
2016-10-31,0.0017373687752881186,3.870705290398568e-06,crisis
2016-11-30,0.0014448361906258496,3.014097747056077e-06,crisis
2016-12-31,0.0014550736122763376,2.8125359780029058e-06,crisis
2017-01-31,0.0012351112027993577,2.433292177028701e-06,crisis
2017-02-28,0.0012115822583511195,2.5287392040052037e-06,crisis
2017-03-31,0.0010823673404607203,2.2063942098082823e-06,crisis
2017-04-30,0.0009591926731932923,2.1021191049519494e-06,crisis
2017-05-31,0.0009242292949431701,2.0331609624779645e-06,crisis
2017-06-30,0.0009270068115673836,2.0905222351541575e-06,crisis
2017-07-31,0.0008847052035154444,4.358212910343662e-05,crisis
2017-08-31,0.0008464520658335333,3.8297512444440684e-05,crisis
2017-09-30,0.0009251269635894188,1.974278088068271e-06,crisis
2017-10-31,0.0009155598208357113,1.8260705192674198e-06,crisis
2017-11-30,0.0009293686444441278,5.6816686436034214e-05,crisis
2017-12-31,0.0009069518464542292,5.142933968849128e-05,crisis
2018-01-31,0.0008729080860117117,2.065088356983935e-06,crisis
2018-02-28,0.001064554599933338,2.819680318205675e-06,crisis
2018-03-31,0.0009934330508118868,2.787912221413613e-06,crisis
2018-04-30,0.0009484968158118513,2.5234100732018927e-06,crisis
2018-05-31,0.0009015989302772298,2.1577766876612614e-06,crisis
2018-06-30,0.0012694409675079326,3.102896603185412e-06,crisis
2018-07-31,0.0011620888024030211,2.793552288382628e-06,crisis
2018-08-31,0.00111454556200331,2.5836183244198896e-06,crisis
2018-09-30,0.001123178242159743,3.0228576653190675e-06,crisis
2018-10-31,0.0010441206447923573,2.4509394030702847e-06,crisis
2018-11-30,0.0017130240620436997,3.897240763911514e-06,crisis
2018-12-31,0.0016754934598141899,3.912287330182229e-06,crisis
2019-01-31,0.0015827586454347242,3.7284933653292107e-06,crisis
2019-02-28,0.0024598020054043337,6.133007005471036e-06,crisis
2019-03-31,0.0016806708252202172,4.644515591456511e-06,crisis
2019-04-30,0.0014332286510639666,3.5610056774437737e-06,crisis
2019-05-31,0.0013265594690208425,3.3787189469836054e-06,crisis
2019-06-30,0.0024711839494958197,6.42884101814678e-06,crisis
2019-07-31,0.002328385968403906,5.718445974439712e-06,crisis
2019-08-31,0.0019327345735201437,4.894909452407559e-06,crisis
2019-09-30,0.0027395595094162517,6.624304508956458e-06,crisis
2019-10-31,0.0024101332190199698,5.803988272379268e-06,crisis
2019-11-30,0.001940742541240228,4.5897357709989706e-06,crisis
2019-12-31,0.0022498841437844034,4.744921065336083e-06,crisis
2020-01-31,0.0019935510293839272,4.3252090299872314e-06,crisis
2020-02-29,0.0020925128778349605,4.643302714185671e-06,crisis
2020-03-31,0.0016400198758848236,3.5187766840028e-06,slowdown
2020-04-30,0.0028539783395212315,6.003548416066984e-06,slowdown
2020-05-31,0.004641632492937582,5.639151485964389e-06,slowdown
2020-06-30,0.003633417821984439,6.658780460744307e-06,slowdown
2020-07-31,0.0030312879040926832,6.212655343645901e-06,slowdown
2020-08-31,0.003271179555575821,5.628596493556515e-06,expansion
2020-09-30,0.002859098179314443,5.289454683449213e-06,expansion
2020-10-31,0.0024512484931900414,4.9100138032054375e-06,expansion
2020-11-30,0.002146725358506299,4.334023255753161e-06,expansion
2020-12-31,0.006087331624877168,7.047890482031471e-06,expansion
2021-01-31,0.004951275227880734,6.195206973369505e-06,slowdown
2021-02-28,0.0041680286661203965,6.562117040725957e-06,slowdown
2021-03-31,0.005468802216973016,5.309410916143342e-06,slowdown
2021-04-30,0.005193795017773271,5.167415053797253e-06,slowdown
2021-05-31,0.0041967967329918235,5.319180597096462e-06,slowdown
2021-06-30,0.003301599341985625,5.673496797864441e-06,slowdown
2021-07-31,0.002791472486609853,6.062241846183092e-06,slowdown
2021-08-31,0.0028375118814509223,5.690499495697443e-06,crisis
2021-09-30,0.0023612514891062086,4.657244683042849e-06,crisis
2021-10-31,0.0021941542394213684,4.739854048918524e-06,crisis
2021-11-30,0.0019145760374815032,3.786554208573545e-06,crisis
2021-12-31,0.0017560273996468773,3.4696076834372924e-06,crisis
2022-01-31,0.0022227142788748527,4.357334598859008e-06,crisis
2022-02-28,0.0020350539706478275,5.791375455199699e-06,crisis
2022-03-31,0.0017178113566299657,5.035550875276407e-06,crisis
2022-04-30,0.0017012138026163094,4.403565886434979e-06,crisis
2022-05-31,0.00302589520174258,5.850700307868939e-06,crisis
2022-06-30,0.0024681467993071596,5.902292816273302e-06,crisis
2022-07-31,0.0032190180298975225,7.448613086186162e-06,crisis
2022-08-31,0.003824743424539597,7.152279922623128e-06,crisis
2022-09-30,0.0031866555543289777,6.201719730980493e-06,crisis
2022-10-31,0.00287520596627142,5.158143692507444e-06,crisis
2022-11-30,0.0024350434361698277,5.189004627564886e-06,crisis
2022-12-31,0.002113988941062891,4.486127161668074e-06,crisis
2023-01-31,0.0025883999732321875,4.472952959050369e-06,crisis
2023-02-28,0.007186463698543746,1.1672733747247754e-05,crisis
2023-03-31,0.0046235619739510535,8.116010452308142e-06,crisis
2023-04-30,0.0036581009747846246,6.483473910912085e-06,crisis
2023-05-31,0.00329809924608002,5.6038151457216134e-06,crisis
2023-06-30,0.003159156712472375,6.277072568561248e-06,crisis
2023-07-31,0.003021001227526069,5.639705667470629e-06,crisis
2023-08-31,0.0030655600995417925,5.281120332323308e-06,crisis
2023-09-30,0.0026696340563167314,4.742774417615392e-06,crisis
2023-10-31,0.0023061289650249507,4.38092956622782e-06,crisis
2023-11-30,0.002276357596451212,4.430644441333342e-06,crisis
2023-12-31,0.00241577663334181,4.5991195106454e-06,crisis
2024-01-31,0.0030944016249625384,5.632870163113646e-06,crisis
2024-02-29,0.0028840778973407383,5.828727786483245e-06,crisis
2024-03-31,0.0025549563597212837,5.440693360975191e-06,crisis
