factor,regime,sharpe_mean,ci_2.5,ci_97.5
hml,Expansion,-0.08582770689608812,-1.051996770458799,0.8751291350671538
hml,Slowdown,-0.38425708009800025,-1.8725971633265655,1.127431519893723
hml,Crisis,-0.1182961289273663,-0.794881231087785,0.525193759856127
umd,Expansion,0.17223735931901843,-0.7312690524143899,1.3028518706834955
umd,Slowdown,-0.8962873645069717,-2.0430735085933125,0.5399773269124204
umd,Crisis,0.21828831829486425,-0.4343957618695878,0.9423825349795102
rmw,Expansion,0.05557763254287808,-0.9141154441052478,0.9973861651640537
rmw,Slowdown,1.3101649908175166,-0.14179992242125866,2.806499166567363
rmw,Crisis,0.49590730474644407,-0.14923133917519965,1.1415459274176014
lowvol,Expansion,-0.9961393998421345,-1.8990353501724053,-0.0902137433148447
lowvol,Slowdown,-1.006603154350775,-2.346275623767408,0.40830796427068683
lowvol,Crisis,-0.4500985120707932,-1.1043625403534625,0.1957397018990941
