ticker,xi,sigma,threshold,n_exceedances,evt_var_99,evt_cvar_99,evt_var_999
NVDA,0.06108997349204402,0.020730661232040093,0.04723016710698365,116,0.08008983983076108,0.10430734430481756,0.13630740505787736
AMD,0.07856221311558276,0.02223639970837117,0.053854392990956575,123,0.09104879439397845,0.11835229177188414,0.15454870043563196
TSM,0.2126001099568579,0.010010711372581842,0.032982464512375055,120,0.05131746856858737,0.06898160013232171,0.09263469668629887
AVGO,0.33025684612995654,0.012560262225457725,0.035970522370320834,118,0.06097631439091493,0.09206076238095798,0.13279043307676053
QCOM,-0.02257104407831039,0.021157366519792498,0.03517357629655218,122,0.06767386437012705,0.08764685422095443,0.1135002510133229
MU,0.171338761248015,0.016938490207893755,0.046492987443038175,122,0.0768601893898441,0.10357987644238967,0.13936397990399813
AAPL,0.16546978828209824,0.011562488191787745,0.029151214383064453,118,0.04928345176095017,0.06713033739699233,0.09102598546879201
MSFT,0.18196709611145465,0.010416523355547543,0.027094718691048247,117,0.04535523008818515,0.062150808264422694,0.084650215850803
GOOG,0.014895234655313703,0.014365113601837183,0.0285023035081325,117,0.05060891180821668,0.06552549452798305,0.08503093182664716
META,0.4049409843158537,0.011493441720520548,0.03590042362374686,122,0.06097394249288424,0.09735140516650437,0.14333052899962975
NFLX,0.2642736973059812,0.01598154327337524,0.037053089326008704,125,0.06857936232208814,0.10162576546317367,0.1456471762330418
CRM,0.22624556063969875,0.013553078999385654,0.03446173158515908,121,0.05972278820492832,0.08462510854910173,0.11794401053118715
ADBE,0.19511980918749527,0.0164319598419089,0.03309197286592671,120,0.0627625372291638,0.09037071413872005,0.1273563736654541
NOW,0.1714311064431785,0.015402154317433197,0.04181723792246918,117,0.06859256314950225,0.09272124828594033,0.12503547962515735
PANW,0.31271166112211535,0.01613750914968404,0.035375585768759564,119,0.06726015460533422,0.1052473925051621,0.15530216389310555
CRWD,-0.1272673423730465,0.029018870312148934,0.05341570770306223,81,0.0946582899423169,0.11574471335268388,0.1421004779280248
DDOG,0.04514309591979082,0.020725850318385128,0.05693137527586594,80,0.0912532158227231,0.11458157461989059,0.1453044003725932
PLTR,0.18747378669699777,0.018546764187165568,0.06391312205017086,67,0.09838447356857691,0.129164082373097,0.17039895244541647
ANET,0.22346306762560647,0.019197972119085104,0.043266882668919426,114,0.07735868501106871,0.11189178927611948,0.15810548490420606
