ticker,model,distribution,bic,aic,converged,Const,NVDA[1],omega,alpha[1],gamma[1],beta[1],nu,AMD[1],TSM[1],AVGO[1],QCOM[1],MU[1],AAPL[1],MSFT[1],GOOG[1],eta,lambda,META[1],NFLX[1],CRM[1],ADBE[1],NOW[1],PANW[1],CRWD[1],DDOG[1],PLTR[1],ANET[1]
NVDA,EGARCH,StudentsT,12382.421935972558,12341.520487855712,True,0.24538228924556377,-0.03021968307093755,0.08884895799274165,0.18790545487968024,-0.08042943814865226,0.9632612148523945,4.85351362437564,,,,,,,,,,,,,,,,,,,,
AMD,EGARCH,StudentsT,13335.006378638825,13294.10493052198,True,0.12999495205792394,,0.13216839424581475,0.14294361665298722,-0.013059912258116577,0.9527969262656593,4.041387878227713,-0.0168266704363374,,,,,,,,,,,,,,,,,,,
TSM,EGARCH,StudentsT,10523.603683600355,10482.70223548351,True,0.14063912123339065,,0.022727223975128715,0.12510508158966382,-0.016914824594422645,0.9885093556134118,5.318974041928999,,-0.06655398428894774,,,,,,,,,,,,,,,,,,
AVGO,EGARCH,StudentsT,10971.39712017377,10930.495672056924,True,0.13498128046385952,,0.05695321359835749,0.16808827501931642,-0.05945405851575972,0.971308008809262,4.471426020254353,,,-0.03119091509860517,,,,,,,,,,,,,,,,,
QCOM,EGARCH,StudentsT,10750.382932897584,10709.48148478074,True,0.09040897291821014,,0.06423489261066154,0.19546934486895082,-0.034585693256858605,0.972960958810027,3.5347365211513724,,,,-0.0643670796491357,,,,,,,,,,,,,,,,
MU,EGARCH,StudentsT,12587.055769107597,12546.154320990752,True,0.13206530582982084,,0.04830401369286163,0.11883703046574436,-0.02601952587389376,0.9801256759882716,5.958013989904051,,,,,-0.01631508373928863,,,,,,,,,,,,,,,
AAPL,EGARCH,StudentsT,9484.871075235991,9443.969627119146,True,0.10818089147074501,,0.0466751267479503,0.19254113295885736,-0.10120967820904733,0.9670129964149102,4.492302607932805,,,,,,0.01685103536172405,,,,,,,,,,,,,,
MSFT,EGARCH,StudentsT,9076.236276647058,9035.334828530213,True,0.12237006613304442,,0.03401327717147356,0.18736263353321414,-0.08893274004383908,0.9720061810183565,4.668974276332044,,,,,,,-0.06534248155270678,,,,,,,,,,,,,
GOOG,EGARCH,skewt,9549.620581448198,9502.876069314661,True,0.07698273245842902,,0.034952551093038076,0.15352549079159897,-0.07217834200917628,0.9799623832639867,,,,,,,,,0.005207792568294434,4.0367748275950435,-0.09108196421805087,,,,,,,,,,
META,EGARCH,StudentsT,10558.553393558195,10517.65194544135,True,0.11459731429432718,,0.02837558161935647,0.10690094377526037,-0.05657114612820255,0.9868034355378691,3.7388668684368405,,,,,,,,,,,-0.05111443728247433,,,,,,,,,
NFLX,EGARCH,StudentsT,11286.498426159462,11245.596978042617,True,0.10769870725081036,,0.04087639163569372,0.11243121029068187,-0.03752308764882331,0.9826963962669427,3.7384044967020427,,,,,,,,,,,,-0.020548665518221952,,,,,,,,
CRM,EGARCH,StudentsT,10364.42632663525,10323.524878518405,True,0.1003094133847032,,0.03474165688354522,0.1428666210494334,-0.06481013563522141,0.981871350237212,4.154351853745682,,,,,,,,,,,,,-0.034912856985392794,,,,,,,
ADBE,EGARCH,skewt,10161.20198433705,10114.457472203514,True,0.09060641549852662,,0.0501585890941756,0.1656297889008978,-0.07593102453190315,0.9738940041079938,,,,,,,,,,3.7357423891760573,-0.09331965105629167,,,,-0.04186198289036259,,,,,,
NOW,EGARCH,skewt,11272.355545235088,11225.611033101552,True,0.0895387401620812,,0.05013647673861227,0.10182768877105004,-0.09189438866823547,0.9752899913580556,,,,,,,,,,4.220241323516282,-0.11933871017362281,,,,,-0.04497208794169329,,,,,
PANW,EGARCH,skewt,10933.25004898002,10886.505536846484,True,0.061363356919716505,,0.0770933378560937,0.09827069081745719,-0.060725802515906875,0.9592567461211041,,,,,,,,,,3.6148323892647083,-0.10168306526122178,,,,,,-0.013915192724306346,,,,
CRWD,EGARCH,StudentsT,8733.057850909592,8695.055360545975,True,0.11265287268999076,,0.07865324861880726,0.11686411276471587,-0.09076371717905513,0.9691671753324114,5.522065426794767,,,,,,,,,,,,,,,,,0.02089729390715039,,,
DDOG,EGARCH,StudentsT,8447.187440962862,8409.477809313265,True,0.10437078828411624,,0.03580602074264582,0.10262614506497808,-0.04262166094334808,0.9888271848555077,4.169843835033141,,,,,,,,,,,,,,,,,,-0.012754551638749974,,
PLTR,GARCH,StudentsT,7571.655580986505,7540.386240586622,True,0.10349882949721179,,0.6537367179222211,0.06209285983834661,,0.9076154229448964,3.8893063006462976,,,,,,,,,,,,,,,,,,,0.040001651113888224,
ANET,EGARCH,StudentsT,11641.611523758962,11600.710075642117,True,0.19763101342282813,,0.04277502765603673,0.09683973991899114,-0.056893571326899525,0.9838935942596285,3.3025821309757344,,,,,,,,,,,,,,,,,,,,-0.014816221243528393
