factor,pair,mean_1,mean_2,diff,t_stat,p_raw,n1,n2,p_holm,reject_holm
hml,Expansion vs Slowdown,-0.00045849056603773614,-0.006470833333333333,0.006012342767295596,0.4894931935738291,0.6286907075293722,53,24,1.0,False
hml,Expansion vs Crisis,-0.00045849056603773614,-0.0009733944954128463,0.0005149039293751102,0.12252466664418374,0.9026437326736635,53,109,1.0,False
hml,Slowdown vs Crisis,-0.006470833333333333,-0.0009733944954128463,-0.005497438837920487,-0.44349155795786843,0.6610280638406961,24,109,1.0,False
umd,Expansion vs Slowdown,0.0009018867924528299,-0.02244583333333333,0.02334772012578616,1.2785868681631418,0.2124845524947725,53,24,1.0,False
umd,Expansion vs Crisis,0.0009018867924528299,0.0022321100917431194,-0.0013302232992902896,-0.23507107417266318,0.8145312947798058,53,109,1.0,False
umd,Slowdown vs Crisis,-0.02244583333333333,0.0022321100917431194,-0.02467794342507645,-1.3596061682459497,0.1860545905651277,24,109,1.0,False
rmw,Expansion vs Slowdown,0.00031320754716981144,0.009220833333333333,-0.008907625786163522,-1.5670168741969106,0.1270337788790225,53,24,1.0,False
rmw,Expansion vs Crisis,0.00031320754716981144,0.002774311926605505,-0.0024611043794356934,-0.8442938231350772,0.4001637017769574,53,109,1.0,False
rmw,Slowdown vs Crisis,0.009220833333333333,0.002774311926605505,0.006446521406727828,1.1613709957654859,0.2549079676098656,24,109,1.0,False
lowvol,Expansion vs Slowdown,-0.01613442373777278,-0.03122776249092171,0.01509333875314893,0.6349779263711735,0.5304552937455372,53,24,1.0,False
lowvol,Expansion vs Crisis,-0.01613442373777278,-0.0059870300636398945,-0.010147393674132884,-1.1228790892339007,0.2645940378342537,53,109,1.0,False
lowvol,Slowdown vs Crisis,-0.03122776249092171,-0.0059870300636398945,-0.025240732427281816,-1.103577717603882,0.280350687161514,24,109,1.0,False
